"id","product_tmpl_id/id","attribute_value_ids/id"
"product_product_cat4_149","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp2,insurance_broker_car_pricing.product_attribute_seats_value_27"
"product_product_cat4_150","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp2,insurance_broker_car_pricing.product_attribute_seats_value_28"
"product_product_cat4_151","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_29,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_152","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_30,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_153","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp2,insurance_broker_car_pricing.product_attribute_seats_value_31"
"product_product_cat4_154","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_32,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_155","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_33,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_156","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_34,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_157","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_35,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_158","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_36,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_159","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_37,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_160","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_38,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_161","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp2,insurance_broker_car_pricing.product_attribute_seats_value_39"
"product_product_cat4_162","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_40,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_163","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_41,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_164","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_42,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_165","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp2,insurance_broker_car_pricing.product_attribute_seats_value_43"
"product_product_cat4_166","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp2,insurance_broker_car_pricing.product_attribute_seats_value_44"
"product_product_cat4_167","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp2,insurance_broker_car_pricing.product_attribute_seats_value_45"
"product_product_cat4_168","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp3,insurance_broker_car_pricing.product_attribute_seats_value_3"
"product_product_cat4_169","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_4,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_170","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp3,insurance_broker_car_pricing.product_attribute_seats_value_5"
"product_product_cat4_171","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_6,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_172","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_7,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_173","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp3,insurance_broker_car_pricing.product_attribute_seats_value_8"
"product_product_cat4_174","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp3,insurance_broker_car_pricing.product_attribute_seats_value_9"
"product_product_cat4_175","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp3,insurance_broker_car_pricing.product_attribute_seats_value_10"
"product_product_cat4_176","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_11,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_177","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp3,insurance_broker_car_pricing.product_attribute_seats_value_12"
"product_product_cat4_178","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp3,insurance_broker_car_pricing.product_attribute_seats_value_13"
"product_product_cat4_179","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp3,insurance_broker_car_pricing.product_attribute_seats_value_14"
"product_product_cat4_180","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_15,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_181","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp3,insurance_broker_car_pricing.product_attribute_seats_value_16"
"product_product_cat4_182","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_17,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_183","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_18,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_184","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_19,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_185","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_20,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_186","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_21,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_187","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_22,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_188","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_23,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_189","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp3,insurance_broker_car_pricing.product_attribute_seats_value_24"
"product_product_cat4_190","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_25,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_191","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp3,insurance_broker_car_pricing.product_attribute_seats_value_26"
"product_product_cat4_192","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_27,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_193","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp3,insurance_broker_car_pricing.product_attribute_seats_value_28"
"product_product_cat4_194","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_29,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_195","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp3,insurance_broker_car_pricing.product_attribute_seats_value_30"
"product_product_cat4_196","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_31,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_197","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp3,insurance_broker_car_pricing.product_attribute_seats_value_32"
"product_product_cat4_198","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp3,insurance_broker_car_pricing.product_attribute_seats_value_33"
"product_product_cat4_199","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp3,insurance_broker_car_pricing.product_attribute_seats_value_34"
"product_product_cat4_200","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_35,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_201","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp3,insurance_broker_car_pricing.product_attribute_seats_value_36"
"product_product_cat4_202","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_37,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_203","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_38,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_204","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp3,insurance_broker_car_pricing.product_attribute_seats_value_39"
"product_product_cat4_205","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp3,insurance_broker_car_pricing.product_attribute_seats_value_40"
"product_product_cat4_206","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_41,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_207","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_42,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_208","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_43,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_209","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp3,insurance_broker_car_pricing.product_attribute_seats_value_44"
"product_product_cat4_210","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_45,insurance_broker_car_pricing.product_attribute_fp_value_fp3"
"product_product_cat4_211","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp4,insurance_broker_car_pricing.product_attribute_seats_value_3"
"product_product_cat4_212","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_4,insurance_broker_car_pricing.product_attribute_fp_value_fp4"
"product_product_cat4_213","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp4,insurance_broker_car_pricing.product_attribute_seats_value_5"
"product_product_cat4_214","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp4,insurance_broker_car_pricing.product_attribute_seats_value_6"
"product_product_cat4_215","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_7,insurance_broker_car_pricing.product_attribute_fp_value_fp4"
"product_product_cat4_216","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_8,insurance_broker_car_pricing.product_attribute_fp_value_fp4"
"product_product_cat4_217","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp4,insurance_broker_car_pricing.product_attribute_seats_value_9"
"product_product_cat4_218","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_10,insurance_broker_car_pricing.product_attribute_fp_value_fp4"
"product_product_cat4_219","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp4,insurance_broker_car_pricing.product_attribute_seats_value_11"
"product_product_cat4_220","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_12,insurance_broker_car_pricing.product_attribute_fp_value_fp4"
"product_product_cat4_221","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_13,insurance_broker_car_pricing.product_attribute_fp_value_fp4"
"product_product_cat4_222","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp4,insurance_broker_car_pricing.product_attribute_seats_value_14"
"product_product_cat4_223","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_15,insurance_broker_car_pricing.product_attribute_fp_value_fp4"
"product_product_cat4_224","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_16,insurance_broker_car_pricing.product_attribute_fp_value_fp4"
"product_product_cat4_225","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp4,insurance_broker_car_pricing.product_attribute_seats_value_17"
"product_product_cat4_226","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp4,insurance_broker_car_pricing.product_attribute_seats_value_18"
"product_product_cat4_227","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp4,insurance_broker_car_pricing.product_attribute_seats_value_19"
"product_product_cat4_228","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp4,insurance_broker_car_pricing.product_attribute_seats_value_20"
"product_product_cat4_229","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_21,insurance_broker_car_pricing.product_attribute_fp_value_fp4"
"product_product_cat4_230","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_22,insurance_broker_car_pricing.product_attribute_fp_value_fp4"
"product_product_cat4_231","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp4,insurance_broker_car_pricing.product_attribute_seats_value_23"
"product_product_cat4_232","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_24,insurance_broker_car_pricing.product_attribute_fp_value_fp4"
"product_product_cat4_233","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp4,insurance_broker_car_pricing.product_attribute_seats_value_25"
"product_product_cat4_234","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_26,insurance_broker_car_pricing.product_attribute_fp_value_fp4"
"product_product_cat4_235","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_27,insurance_broker_car_pricing.product_attribute_fp_value_fp4"
"product_product_cat4_236","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp4,insurance_broker_car_pricing.product_attribute_seats_value_28"
"product_product_cat4_237","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_29,insurance_broker_car_pricing.product_attribute_fp_value_fp4"
"product_product_cat4_238","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp4,insurance_broker_car_pricing.product_attribute_seats_value_30"
"product_product_cat4_239","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_31,insurance_broker_car_pricing.product_attribute_fp_value_fp4"
"product_product_cat4_240","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_32,insurance_broker_car_pricing.product_attribute_fp_value_fp4"
"product_product_cat4_241","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_33,insurance_broker_car_pricing.product_attribute_fp_value_fp4"
